action_part,grasp_part,attachment,geo_score,att_score
drill_bit.ply,plastic_handle.ply,None,4.283662e-01,Inf
drill_bit.ply,steel_bowl.ply,None,4.495030e-01,Inf
screwdriver_large.ply,plastic_handle.ply,None,4.890141e-01,Inf
red_cylinder_magnetic.ply,plastic_handle.ply,None,5.090137e-01,Inf
red_cylinder_magnetic.ply,steel_bowl.ply,None,5.182680e-01,Inf
white_bread.ply,gelatin_box.ply,None,5.316404e-01,Inf
drill_bit.ply,foam_triangle.ply,None,5.475526e-01,Inf
white_bread.ply,steel_bowl.ply,None,5.768994e-01,Inf
screwdriver_large.ply,steel_bowl.ply,None,5.834690e-01,Inf
screwdriver_large.ply,foam_triangle.ply,None,6.065119e-01,Inf
drill_bit.ply,gelatin_box.ply,None,6.077896e-01,Inf
red_cylinder_magnetic.ply,gelatin_box.ply,None,6.197603e-01,Inf
red_cylinder_magnetic.ply,foam_triangle.ply,None,6.271325e-01,Inf
square_plastic.ply,gelatin_box.ply,None,6.608568e-01,Inf
square_cardboard.ply,gelatin_box.ply,None,6.727874e-01,Inf
foam_triangle.ply,plastic_handle.ply,None,6.802219e-01,Inf
square_plastic.ply,steel_bowl.ply,None,7.038190e-01,Inf
square_cardboard.ply,steel_bowl.ply,None,7.136220e-01,Inf
foam_triangle.ply,steel_bowl.ply,None,7.165896e-01,Inf
drill_bit.ply,red_cylinder_magnetic.ply,None,7.202393e-01,Inf
drill_bit.ply,screwdriver_large.ply,pierce,7.340084e-01,5.621080e-03
white_bread.ply,plastic_handle.ply,None,7.422072e-01,Inf
screwdriver_large.ply,gelatin_box.ply,None,7.544621e-01,Inf
gelatin_box.ply,steel_bowl.ply,None,7.621658e-01,Inf
screwdriver_large.ply,red_cylinder_magnetic.ply,None,7.889495e-01,Inf
gelatin_box.ply,plastic_handle.ply,None,7.966881e-01,Inf
white_bread.ply,square_plastic.ply,None,8.033117e-01,Inf
red_cylinder_magnetic.ply,screwdriver_large.ply,pierce,8.082695e-01,5.621076e-03
white_bread.ply,square_cardboard.ply,None,8.266491e-01,Inf
square_cardboard.ply,square_plastic.ply,None,8.292406e-01,Inf
steel_bowl.ply,plastic_handle.ply,None,8.316946e-01,Inf
square_cardboard.ply,white_bread.ply,None,8.387164e-01,Inf
screwdriver_large.ply,drill_bit.ply,None,8.454221e-01,Inf
white_bread.ply,foam_triangle.ply,None,8.494541e-01,Inf
red_cylinder_magnetic.ply,drill_bit.ply,None,8.514813e-01,Inf
square_plastic.ply,white_bread.ply,None,8.523962e-01,Inf
foam_triangle.ply,gelatin_box.ply,None,8.642128e-01,Inf
square_plastic.ply,square_cardboard.ply,None,8.664669e-01,Inf
plastic_handle.ply,steel_bowl.ply,None,8.671944e-01,Inf
square_plastic.ply,plastic_handle.ply,None,8.678169e-01,Inf
square_cardboard.ply,plastic_handle.ply,None,8.759512e-01,Inf
white_bread.ply,red_cylinder_magnetic.ply,None,8.810094e-01,Inf
steel_bowl.ply,gelatin_box.ply,None,8.993692e-01,Inf
gelatin_box.ply,foam_triangle.ply,None,9.023226e-01,Inf
steel_bowl.ply,foam_triangle.ply,None,9.332472e-01,Inf
plastic_handle.ply,foam_triangle.ply,None,9.357628e-01,Inf
foam_triangle.ply,red_cylinder_magnetic.ply,None,9.478038e-01,Inf
foam_triangle.ply,screwdriver_large.ply,pierce,9.481105e-01,5.621079e-03
white_bread.ply,drill_bit.ply,None,9.718246e-01,Inf
plastic_handle.ply,gelatin_box.ply,None,9.745150e-01,Inf
square_plastic.ply,foam_triangle.ply,None,9.753460e-01,Inf
square_cardboard.ply,foam_triangle.ply,None,9.844120e-01,Inf
foam_triangle.ply,drill_bit.ply,None,9.964722e-01,Inf
square_plastic.ply,red_cylinder_magnetic.ply,None,1.011538e+00,Inf
gelatin_box.ply,red_cylinder_magnetic.ply,None,1.015625e+00,Inf
white_bread.ply,screwdriver_large.ply,pierce,1.022097e+00,5.621074e-03
square_cardboard.ply,red_cylinder_magnetic.ply,None,1.023889e+00,Inf
steel_bowl.ply,red_cylinder_magnetic.ply,None,1.052967e+00,Inf
gelatin_box.ply,screwdriver_large.ply,pierce,1.054856e+00,5.621077e-03
gelatin_box.ply,drill_bit.ply,None,1.072876e+00,Inf
plastic_handle.ply,red_cylinder_magnetic.ply,None,1.076864e+00,Inf
steel_bowl.ply,screwdriver_large.ply,pierce,1.077293e+00,5.621078e-03
plastic_handle.ply,screwdriver_large.ply,pierce,1.077844e+00,5.621076e-03
square_plastic.ply,drill_bit.ply,None,1.099818e+00,Inf
steel_bowl.ply,drill_bit.ply,None,1.102926e+00,Inf
square_cardboard.ply,drill_bit.ply,None,1.112282e+00,Inf
plastic_handle.ply,drill_bit.ply,None,1.119713e+00,Inf
gelatin_box.ply,white_bread.ply,None,1.141545e+00,Inf
square_plastic.ply,screwdriver_large.ply,pierce,1.144638e+00,5.621075e-03
square_cardboard.ply,screwdriver_large.ply,pierce,1.154969e+00,5.621065e-03
drill_bit.ply,white_bread.ply,None,1.181079e+00,Inf
red_cylinder_magnetic.ply,white_bread.ply,None,1.188747e+00,Inf
gelatin_box.ply,square_plastic.ply,None,1.217190e+00,Inf
gelatin_box.ply,square_cardboard.ply,None,1.257451e+00,Inf
drill_bit.ply,square_plastic.ply,None,1.259316e+00,Inf
red_cylinder_magnetic.ply,square_plastic.ply,None,1.269555e+00,Inf
steel_bowl.ply,white_bread.ply,None,1.277589e+00,Inf
drill_bit.ply,square_cardboard.ply,None,1.296705e+00,Inf
red_cylinder_magnetic.ply,square_cardboard.ply,None,1.306720e+00,Inf
screwdriver_large.ply,white_bread.ply,None,1.310293e+00,Inf
steel_bowl.ply,square_plastic.ply,None,1.364252e+00,Inf
screwdriver_large.ply,square_plastic.ply,None,1.378608e+00,Inf
foam_triangle.ply,white_bread.ply,None,1.387985e+00,Inf
steel_bowl.ply,square_cardboard.ply,None,1.398909e+00,Inf
screwdriver_large.ply,square_cardboard.ply,None,1.410959e+00,Inf
foam_triangle.ply,square_plastic.ply,None,1.454209e+00,Inf
plastic_handle.ply,white_bread.ply,None,1.474631e+00,Inf
foam_triangle.ply,square_cardboard.ply,None,1.482925e+00,Inf
plastic_handle.ply,square_plastic.ply,None,1.539059e+00,Inf
plastic_handle.ply,square_cardboard.ply,None,1.565550e+00,Inf
